category|osm_id|lat|lon|name|amenity|shop|wheelchair|cuisine|toilets|toilets:wheelchair|tourism|alt_name|building|opening_hours|wikipedia|atm|outdoor_seeting|diet|diet:vegetarian|phone|denomination|transport|health|sport|accommo
149|N895805118|45.431244|12.328299699999999|Gallerie dell'Accademia|||yes||||museum|||Tu-Su 08:15-19:15; Mo 8:15-14:00|it:Gallerie dell'Accademia|||||+ 39 041 5222247|||||
29|N912147712|45.430401200000006|12.327287199999999|San Trovaso|restaurant||||||||||||||||||||
12|N944188758|45.426086|12.3604547||||||||||||||||||||||
139|N957110944|45.435755799999995|12.3552237|Antica Gru Armstrong|||||||attraction||||||||||||||
29|N999327706|45.4317435|12.3270513|Taverna San Trovaso|restaurant||limited||||||||||||||||||
83|N999327708|45.431370799999996|12.326856|||convenience|||||||||||||||||||
23|N1023519197|45.4278114|12.3144028||bar||||||||||||||||||||
34|N1023574866|45.4278205|12.3142737|Farmacia Risorta|pharmacy||||||||||||||||||||
34|N1024860789|45.425468200000005|12.3318878|del Redentore|pharmacy||||||||||||||||||||
34|N1024860791|45.426321|12.3265764|Farmacia Ghezzo ai S.S. Cosma e Damiano (ex Boldi)|pharmacy||||||||||||||||||||
29|N1024860795|45.426064399999994|12.3277569|ai Cacciatori|restaurant|||italian||||||24/7||||||+390415285849|||||
34|N1024886517|45.4309404|12.3266731|Solveni|pharmacy||||||||||||||||||||
46|N1024900210|45.4260415|12.327863699999998|Banco San Marco|bank|||||||||||yes|||||||||
105|N1093760958|45.4254781|12.3315009|Prix||supermarket||||||||Mo-Sa 08:30-20:00; Su 09:00-13:00; Su 15:00-19:00||||||+39 041 5239825|||||
6|N1170924649|45.4302057|12.3297166|American|||||||hotel||||||||||||||
29|N1182539137|45.430606|12.329430499999999|ai Cugnai|restaurant||||||||||||||||||||
6|N1202776181|45.4351892|12.3358298|Hotel Bonvecchiati|||||||hotel||||||||||||||
23|N1207522412|45.4308975|12.3266673|Cantinone già Schiavi|bar||||||||||||||||||||
29|N1207531536|45.4326361|12.323583900000001|La Furatola|restaurant|||regional|||||||||||||||||
134|N1279636663|45.425652899999996|12.3617492|||||||||||||||||||||tennis|
6|N1295454824|45.4374889|12.337138000000001|Ca' Leon D'Oro|||||||hotel|||||||||+39 041 2413895|||||
85|N1306837129|45.425464|12.3317412|Boutique Brunetta||sewing|||||||||||||||||||
29|N1306838883|45.4253195|12.331093899999999|Al Redentor|restaurant|||pizza|||||||||||||||||
6|N1326446419|45.444486600000005|12.3257814|Ca´ Pozzo|||||||hotel||||||||||||||
25|N1326454795|45.4347562|12.349633599999999|Bar Arsenale|cafe||||||||||||||||||||
29|N1326454796|45.445736100000005|12.327819900000001|Trattoria all Antica Mola|restaurant|||italian|||||||||||||||||
6|N1331300057|45.436904999999996|12.3369608|San Giorgio|||||||hotel|||||||||+39 041 5235835|||||
6|N1337211230|45.4340384|12.343111500000001|Paganelli|||||||hotel|||||||||+39 041 5224324|||||
6|N1341099997|45.4389792|12.3211661|Hotel Gardena|||||||hotel|||||||||+39 041 0993670|||||
105|N1346173745|45.434719|12.3194161|Prix||supermarket|limited||||||||||||||||||
27|N1346173746|45.43284620000001|12.324943699999999|Grom|ice_cream||||||||||||||||||||
114|N1358122980|45.4238658|12.3284659|Associazione Sportiva Canottieri Giudecca||||||||||||||||+39 041 52 87 409||||rowing|
6|N1361248951|45.43622070000001|12.3191025|Locanda Marinella|||||||hotel|||||||||+39 041 2759457|||||
6|N1386050717|45.441866100000006|12.322053|Hotel Florida|||no||||hotel|||||||||+39 041 715253|||||
25|N1403238685|45.44076870000001|12.3349929|Santa Sofia|cafe||no|italian|||||||||||||||||
29|N1403411864|45.4463627|12.3286539|Anice Stellato|restaurant|||italian||||||We-Su 10:30-15:00, 18:30-00:00||||||+39 041 720744|||||
6|N1403436964|45.442182|12.3234159|Hotel Nazionale|||no||||hotel|||||||||+39 041 716133|||||
6|N1403436969|45.4423661|12.3239608|di Spagna|||||||hotel|||||||||+39 041 715011|||||
6|N1403436972|45.4422685|12.3238254|Continental|||||||hotel||||||||||||||
6|N1419359124|45.432390999999996|12.3327102|Ala Venice|||||||hotel||||||||||||||
139|N1426021120|45.43145560000001|12.321813|Squero Tramontin|||||||attraction||||||||||||||
29|N1426810569|45.4416476|12.3340862|Why&Not|restaurant||||||||||||||||||||
50|N1426827556|45.441605700000004|12.3278375|San Giovanni Decollato|place_of_worship||no||||||||de:San Zan Degolà||||||russian_orthodox||||
139|N1426839179|45.438376500000004|12.325776300000001|Scuola Grande di San Giovanni|||||||attraction||||||||||||||
29|N1434061765|45.440833000000005|12.3354512||restaurant|||seafood|||||||||||||||||
29|N1434076506|45.4358136|12.3263612|Dona onesta|restaurant|||seafood|||||||||||||||||
6|N1521860600|45.434723600000005|12.3451881|Hotel Bisanzio|||limited||||hotel||||||||||||||
6|N1521846677|45.4338677|12.3420638|Danieli|||||||hotel|||||||||+39 041 5226480|||||
106|N1521850170|45.4341306|12.341861|||tobacco|||||||||||||||||||
23|N1521913798|45.4371643|12.340566699999998|Zanzibar|bar||||||||||||||||||||
29|N1521920970|45.4374437|12.3362181|Al Graspo de Ua|restaurant||||||||||||||||||||
6|N1521901925|45.436401399999994|12.3374896|Hotel Locanda ai Bareteri|||||||guest_house||||||||||||||
74|N1521903929|45.4365886|12.335887199999998|Al Ponte del Lovo||bakery|||||||||||||||||||
14|N1521905710|45.4367093|12.3372825||post_office||yes||||||||||||||||||
29|N1521958082|45.438777|12.342444500000001|Spaghetteria 6342 A Le Tole|restaurant|||italian_pizza||||||Mo-Su 12:00-15:30, 19:00-22:30||||||+39 0414768410|||||
26|N1521928657|45.437752200000006|12.3372513|Rosticceria Gislon|fast_food|||regional||||Rosticceria San Bartolomeo|||||||||||||
29|N1521995107|45.440492600000006|12.3399401|Ostaria Boccadoro|restaurant|||italian||||||Mo-Su 10:00-23:00|||||||||||
6|N1522007976|45.441684|12.3402013|Hotel Casa Boccassini|||||||hotel||||||||||||||
29|N1522022009|45.4431706|12.3403008|Algiubagio|restaurant|||italian|||||||||||||||||
26|N1521983226|45.4397148|12.337055300000001|Take Away|fast_food||no||||||||||||||||||
80|N1521985411|45.4398674|12.339460899999999|||clothes|||||||||||||||||||
6|N1522308704|45.4391019|12.3210639|Hotel Walter|||||||hotel|||||||||+39 041 5238480|||||
83|N1522311607|45.4392587|12.321081|||variety_store|||||||||||||||||||
6|N1522311611|45.4392847|12.3211168|Hotel Canal|||||||hotel|||||||||+39 041 5238480|||||
104|N1522311897|45.439310600000006|12.321152699999999|||shoes|||||||||||||||||||
25|N1522313181|45.439386999999996|12.321175199999999|Bar Mirabar|cafe||||||||||||||||||||
29|N1522319861|45.439783899999995|12.3276396|Al Bagolo|restaurant|||||||||||||||+39 041 717584|||||
29|N1522320580|45.4398458|12.321643|Ristorante Da Nino|restaurant||||||||||||||||||||
85|N1522321860|45.4399045|12.3317924|Artigianato d'Arte di Vianello Mauro||art||||||||Mo-Sa 10:30-18:00|||||||||||
88|N1522322379|45.4399321|12.325491900000001|Il Bouquet||florist||||||||Mo-Sa 08:45-12:30,15:45-19:30; Su 08:45-12:30|||||||||||
85|N1522343426|45.4412636|12.3261269|Galleria Santa Croce||art|||||||||||||||||||
29|N1522348931|45.4418039|12.32214|Trattoria alle Lance|restaurant||limited||||||||||||||||||
29|N1522349737|45.4418972|12.322009399999999|Trattoria Il Vagone|restaurant||no||||||||||||||||||
6|N1522351510|45.4421182|12.3233242|Hotel Il Moro di Venezia|||limited||||hotel|||||||||+39 041 0985730|||||
29|N1522351679|45.4421437|12.3216633|Ristorante Kome|restaurant||no|japanese||||||||||||+39 041 716232|||||
23|N1522293722|45.4379088|12.327129199999998|Il Vizietto|bar||||||||||||||||||||
29|N1522305110|45.438844|12.3212843|Trattoria dalla Zanze|restaurant||||||||||||||||||||
97|N1522280001|45.4367875|12.319944099999999|Lavanderia Ai Tre Ponti||laundry|yes||||||||||||||||||
85|N1522280955|45.4368201|12.3199346|Polo Nord||ice_cream|||||||||||||||||||
29|N1522281589|45.4368275|12.3191649|Pizzeria Mangia e Fuggi|restaurant|||||||||||||||+39 041 5241448|||||
6|N1522282289|45.4368756|12.3193943|Hotel Olimpia|||||||hotel|||||||||+39 041 711041|||||
29|N1522282297|45.4368987|12.319504|Trattoria B&B alle Burchielle|restaurant|||italian|||||||||||||||||
6|N1522282299|45.436912400000004|12.319723800000002|Hotel Arlecchino|||||||hotel|||||||||+39 041 710723|||||
29|N1522282301|45.4369423|12.319898|Trattoria ai Tre Ponti|restaurant||||||||||||||||||||
83|N1522282708|45.4369229|12.321157800000002|Cuore Bio||convenience|||||||||||||||||||
25|N1522367659|45.44370120000001|12.3274758||cafe||limited||||||||||||||||||
94|N1522367906|45.4437297|12.3259383|||electronics|yes||||||||||||||||||
77|N1522368313|45.44374929999999|12.3263687|||butcher|yes||||||||||||||||||
27|N1522370224|45.443907200000005|12.328058300000002|Handay|ice_cream||yes||||||||||||||||||
6|N1522370268|45.44391629999999|12.3300837|Hotel Eden|||no||||hotel|||||||||+39 041 5244003|||||
84|N1522372802|45.4441411|12.3249737|Cartoleria||stationery|||||||||||||||||||
74|N1522373379|45.4441906|12.3293319|||bakery|||||||||||||||||||
167|N1550191573|45.4415684|12.3208113|Venezia Santa Lucia|||||||||||||||||||||
28|N1558151062|45.4271789|12.339642900000001|theNeuPop|pub||||||||||||||||||||
23|N1578544083|45.439805299999996|12.336769|Frulalà|bar||yes||||||||||||||||||
6|N1578544104|45.4398079|12.3367964|Hotel al Vagon|||no||||hotel|||||||||+39 041 5285626|||||
6|N1608639576|45.435601|12.340012199999999|Donà Palace|||yes||||hotel|||||||||+39 041 2743511|||||
29|N1608642947|45.4347273|12.333|Vini Da Arturo|restaurant|||italian|||||||||||||||||
29|N1608654029|45.4410625|12.3399802|Ristorante La Colonna|restaurant|||italian|||||||||||||||||
23|N1609073433|45.435924|12.335116900000001|Alla Città di Torino|bar||||||||||||||||||||
34|N1624050560|45.4405403|12.336288099999999|Alla Fama|pharmacy||yes|||||||||||||+39 041 5224239|||||
34|N1625636286|45.437537799999994|12.3410841|Farmacia dell'Orso|pharmacy||||||||||||||||||||
34|N1625636294|45.4387026|12.334401199999999|al Castoro|pharmacy||no||||||||||||||||||
34|N1625636300|45.4375809|12.3381938|al Pellegrino|pharmacy||||||||||||||||||||
152|N1627037963|45.436346|12.3352192|Teatro stabile del Veneto Carlo Goldoni|theatre||||||||||it:Teatro stabile del Veneto Carlo Goldoni||||||||||
144|N1627214317|45.4412809|12.337385099999999|Giorgione|cinema||||||||||||||||||||
147|N1627393284|45.443147499999995|12.332054300000001|Paolo Sarpi|||yes||||||||||||||||||
96|N1628497630|45.4401513|12.3393268|||kiosk|yes||||||||||||||||||
34|N1636849138|45.4398806|12.3386814|Farmacia alle Due Colonne|pharmacy||||||||||||||||||||
90|N1637541979|45.4399747|12.336724400000001|Zecchin glass||gift|limited||||||||||||||||||
23|N1637541980|45.4397196|12.3371605|Enobar|bar||no||||||||||||||||||
29|N1656286324|45.439057299999995|12.337423699999999|Pizzeria Malibran|restaurant||yes|italian;pizza|||||||||||||||||
74|N1668784332|45.439682|12.3378653|Crosera||bakery|||||||||||||||||||
92|N1668789227|45.439727600000005|12.337617300000002|Giordano||hairdresser|||||||||||||||||||
91|N1668791816|45.4398711|12.3383897|||greengrocer|||||||||||||||||||
76|N1668794205|45.4399304|12.339131|||books|||||||||||||||||||
29|N1671788276|45.439816799999996|12.3399052|Osteria da Alberto|restaurant|||||||||||||||+39041528916|||||
105|N1677453260|45.438231200000004|12.339706399999999|Coop Venezia Santa Marina||supermarket|||||||||||||||||||
105|N1676750834|45.4414258|12.3375121|||supermarket||||||||Mo-Su 09:00-20:00|||||||||||
34|N1681386241|45.443827|12.3292184|Farmacia Checchia|pharmacy||||||||||||||||||||
34|N1681386242|45.4426417|12.332229|Speziera all'Ercole d'Oro|pharmacy||limited||||||||||||||||||
14|N1681386245|45.4422888|12.3242611|Posteitaliane|post_office||yes||||||||||||||||||
23|N1698431331|45.4395774|12.3410069|Osteria al Ponte|bar||||||||||||||||||||
29|N1739786482|45.442003299999996|12.3337418|Vini da Gigio|restaurant|||italian||||||We-Su 12:00-14:00, 19:00-22:00|||||||||||
6|N1741550473|45.4427648|12.3347522|3749 Ponte Chiodo|||||||guest_house||||||||||||||
96|N1743800993|45.4397138|12.340617|||kiosk|||||||||||||||||||
96|N1749017021|45.4416951|12.3375933|||kiosk|||||||||||||||||||
29|N1763336172|45.4375091|12.3372648|Trattoria Aquila Nera|restaurant||||||||||||||||||||
23|N1777145995|45.432880700000005|12.3174284|Cambusa|bar||limited||||||||||||||||||
23|N1777146001|45.43429520000001|12.316819599999999|Al canton|bar||||||||||||||||||||
162|N1784932547|45.4338415|12.3108654||fuel||||||||||||||||||||
162|N1784932548|45.4319781|12.3092588|Eni|fuel||||||||||||||||||||
161|N1799420570|45.4421174|12.307884800000002|Venezia Tronchetto|||||||||||||||||||||
91|N1806297164|45.4373882|12.3389314|La Bottega del Tartufo||greengrocer|||||||||||||||||||
25|N1813895953|45.439021200000006|12.3413595|Snack Bar Colleoni|cafe|||coffee_shop|||||||||||||||||
25|N1813895974|45.438933500000005|12.3417406|Rosa Salva|cafe|||coffee_shop|||||||||||||||||
6|N1814717525|45.4377567|12.3406547|Ruzzini Palace|||||||hotel||||||||||||||
105|N1843619457|45.4452526|12.3310904|Prix||supermarket|||||||||||||||||||
85|N1854309387|45.4359525|12.343419599999999|Wine Bar 5000||wine|||||||||||||||||||
6|N1860869003|45.4282422|12.319935800000001|Hilton Molino Stucky Venice|||||||hotel|||||||||+39 041 272 3311|||||
6|N1864149530|45.4310059|12.3267397|Palazzo Guardi|||||||hotel|||||||||+39 041 2960725|||||
148|N1867916176|45.430157799999996|12.3553764|Monumento All'Armata Navale|||||||||||||||||||||
105|N1867916311|45.4324605|12.353744599999999|Supermercato Venezia Garibaldi||supermarket|||||||||||||||||||
105|N1864722354|45.4375383|12.331636900000001|inCoop||supermarket|yes||||||||||||||||||
34|N1864722358|45.437140299999996|12.3301633|Pisanello|pharmacy||limited||||||||||||||||||
14|N1864853220|45.4335674|12.3369495||post_office||||||||||||||||||||
12|N1876024103|45.4434073|12.324005999999999||||||||||||||||||||||
25|N1879269046|45.4337777|12.330622|All'Angolo|cafe||||||||||||||||||||
25|N1879269049|45.4339958|12.3310084|Bar Spritz|cafe||||||||||||||||||||
25|N1879269054|45.4333596|12.3308796||cafe||||||||||||||||||||
27|N1879269057|45.433696399999995|12.3305143||ice_cream||||||||||||||||||||
11|N1879269066|45.4329554|12.331398||library||||||||||||||||||||
25|N1879269070|45.43303529999999|12.330708999999999|A Peccafico|cafe|||||||||Mo-Su,PH 12:00-15:00,19:00-23:00||||||+39 0415274879|||||
25|N1879269073|45.4325105|12.3297216||cafe||||||||||||||||||||
25|N1879269078|45.4332304|12.3308049||cafe||||||||||||||||||||
6|N1882140345|45.440841999999996|12.3295061|Al Gallo|||||||hotel|||||||||+39 041 5236761|||||
6|N1894224125|45.4416597|12.3354209|Palazzo Abadessa|||||||hotel||||||||||||||
6|N1909741059|45.446081299999996|12.320383900000001|Carnival Palace|||||||hotel|||||||||+39 041 2440320|||||
105|N1917449873|45.437137899999996|12.3281171|Conad City||supermarket||||||||Mo-Su 08:30-21:30|||||||||||
25|N1927219481|45.4413689|12.321404600000001|Relax & Cafè|cafe||yes||||||||||||||||||
6|N1975769948|45.4431811|12.3246293|Hotel San Geremia|||no||||hotel|||||||||+39 041 715562|||||
29|N1975777737|45.4437364|12.326003|Al Poggio|restaurant||yes|italian|||||||||||||||||
29|N1975787963|45.4363902|12.335659|Al Teatro Goldoni|restaurant|||italian|||||||||||||||||
6|N1987303909|45.434036299999995|12.3456378|Casa Navagero|||||||guest_house||||||||||||||
26|N1987313539|45.434968|12.3470016|Osteria alla Rampa|fast_food||yes|regional||||||Mo-Sa 07:00-20:00|||||||||||
83|N1987313552|45.4351039|12.3469898|||convenience|||||||||||||||||||
105|N1996026168|45.4307253|12.321464599999999|Conad City||supermarket|no|||||||Mo-Su 08:30-22:00|||||||||||
21|N2075962957|45.4339499|12.324369500000001|Istituto Venezia|school||||||||||||||||||||
27|N2089190146|45.4349976|12.3371586|Gelato Fantasy S.r.l|ice_cream|||ice_cream||||||||||||041 522 5993|||||
25|N2090158872|45.4360287|12.3485329|Osteria ai do Pozzi|cafe||yes|||||||||||||+39 041 52 07 141|||||
6|N2157514398|45.4339604|12.3304447|Locanda Fiorita|||||||hotel|||||||||+39 041 5234754|||||
34|N2158630582|45.433916499999995|12.3307679||pharmacy||||||||||||||||||||
25|N2164518066|45.4307035|12.3290894|Gino's|cafe||||||||||||||||||||
25|N2164520712|45.4293172|12.3274643|Laguna|cafe|||||||||||||||+39 041 5283619|||||
46|N2164520713|45.4310425|12.328732||bank||||||||||||||||||||
76|N2164522229|45.431775|12.325853|||books|||||||||||||||||||
76|N2164522230|45.4318631|12.32571|||books|||||||||||||||||||
76|N2164522231|45.431886999999996|12.325811999999999|||books|||||||||||||||||||
28|N2165121246|45.4352472|12.3239546|Chet Bar|pub||limited||||||||||||||||||
34|N2165121247|45.4352654|12.3241878|Farmacia Santa Margherita|pharmacy||no||||||||||||||||||
29|N2165495948|45.4358593|12.3254031|L'impronta|restaurant||yes|italian||||||Mo-Fr 07:00-02:00; Sa 08:00-02:00||||||+39 0412750386|||||
25|N2165495949|45.4360299|12.327948699999999|Ciak|cafe||no||||||||||||||||||
29|N2165495950|45.4360424|12.3250595|Estro - Vino e Cucina|restaurant|wine||||||||We-Mo,PH 12:00-23:00||||||041 476 4914|||||
82|N2165495951|45.4359205|12.3251791|pasticceria Tonolo||confectionery|yes|||||||Tu-Su 09:00-18:00|||||||||||
29|N2165495952|45.4343959|12.3260884|Venice Eat|restaurant|||italian|||||||||||||||||
25|N2165495953|45.4359746|12.3252787|Cafè Noir|cafe||yes|||||||Mo-Fr 11:00-02:00; Sa,Su 19:00-02:00|||||||||||
6|N2177175786|45.4418843|12.3230075|Hotel Belle Epoque|||no||||hotel|||||||||+39 041 2440004|||||
23|N2188208741|45.4375846|12.3326344|Vineria all'Amarone|bar|||||||||We off||||||+39 041 5231184|||||
152|N2189496192|45.4319867|12.332283300000002|Musica A Palazzo|theatre||||||||||||||||||||
138|N2189584691|45.43422929999999|12.339720199999999|Monumento ai Tetrarchi|||||||artwork||||it:Monumento ai Tetrarchi||||||||||
50|N2189636789|45.4387715|12.334467|Chiesa di San Giovanni Elemosinario|place_of_worship||no||||||||it:Chiesa di San Giovanni Elemosinario||||||||||
139|N2189647589|45.4336995|12.322384399999999|Scuola Grande dei Carmini|||no||||attraction|||Mo-Su 11:00-16:00|it:Scuola Grande dei Carmini||||||||||
149|N2189681860|45.428854799999996|12.357971899999999|Giardini della Biennale|||||||museum||||||||||||||
139|N2189685759|45.4354304|12.3533364|Arsenale di Venezia|||||||attraction||||it:Arsenale di Venezia||||||||||
152|N2189874138|45.434947799999996|12.3394408|Virtuosi de Venezia|theatre||||||||||||||||||||
138|N2190650736|45.4387725|12.3351069|Il Gobbo di Rialto|||yes||||artwork||||||||||||||
85|N2190657993|45.439005200000004|12.334992199999999|Aliani Casa del Parmigiano||cheese||||||||Lunedì - Mercoledì 8 - 13.30; Giovedì - Sabato 8-19.30; Domenica chiuso||||||041 520 6525|||||
107|N2195272186|45.43738870000001|12.3367258|Disney Store||toys|||||||||||||||||||
6|N2205844953|45.4394389|12.3366552|Hotel Lion Morosini|||||||hotel||||||||||||||
